"41.78604,140.795629,180.0.jpg",161
"41.78604,140.795629,270.0.jpg",131
"41.78604,140.7984989999999,0.0.jpg",123
"41.78604,140.7984989999999,180.0.jpg",125
"41.78604,140.7984989999999,270.0.jpg",166
"41.78604,140.7984989999999,90.0.jpg",139
"41.78604,140.7989089999999,0.0.jpg",148
"41.78604,140.7989089999999,180.0.jpg",177
"41.78604,140.7989089999999,90.0.jpg",124
"41.78604,140.795629,180.0.jpg",161
"41.78604,140.795629,270.0.jpg",131
"41.78604,140.7984989999999,0.0.jpg",123
"41.78604,140.7984989999999,180.0.jpg",125
"41.78604,140.7984989999999,270.0.jpg",166
"41.78604,140.7984989999999,90.0.jpg",139
"41.78604,140.7989089999999,0.0.jpg",148
"41.78604,140.7989089999999,180.0.jpg",177
"41.78604,140.7989089999999,90.0.jpg",124
"41.78604,140.795629,180.0.jpg",161
"41.78604,140.795629,270.0.jpg",131
"41.78604,140.7984989999999,0.0.jpg",123
"41.78604,140.7984989999999,180.0.jpg",125
"41.78604,140.7984989999999,270.0.jpg",166
"41.78604,140.7984989999999,90.0.jpg",139
"41.78604,140.7989089999999,0.0 のコピー 2.jpg",148
"41.78604,140.7989089999999,0.0 のコピー 3.jpg",148
"41.78604,140.7989089999999,0.0 のコピー.jpg",148
"41.78604,140.7989089999999,0.0.jpg",148
"41.78604,140.7989089999999,180.0.jpg",177
"41.78604,140.7989089999999,90.0.jpg",124
"41.78604,140.795629,180.0.jpg",161
"41.78604,140.795629,270.0.jpg",131
"41.78604,140.7984989999999,0.0.jpg",123
"41.78604,140.7984989999999,180.0.jpg",125
"41.78604,140.7984989999999,270.0.jpg",166
"41.78604,140.7984989999999,90.0.jpg",139
"41.78604,140.7989089999999,0.0 のコピー 2.jpg",148
"41.78604,140.7989089999999,0.0 のコピー 3.jpg",148
"41.78604,140.7989089999999,0.0 のコピー.jpg",148
"41.78604,140.7989089999999,0.0.jpg",148
"41.78604,140.7989089999999,180.0.jpg",177
"41.78604,140.7989089999999,90.0.jpg",124
"41.78604,140.795629,180.0.jpg",161
"41.78604,140.795629,270.0.jpg",131
"41.78604,140.7984989999999,0.0.jpg",123
"41.78604,140.7984989999999,180.0.jpg",125
"41.78604,140.7984989999999,270.0.jpg",166
"41.78604,140.7984989999999,90.0.jpg",139
"41.78604,140.7989089999999,0.0 のコピー 2.jpg",148
"41.78604,140.7989089999999,0.0 のコピー 3.jpg",148
"41.78604,140.7989089999999,0.0 のコピー.jpg",148
"41.78604,140.7989089999999,0.0.jpg",148
"41.78604,140.7989089999999,180.0.jpg",177
"41.78604,140.7989089999999,90.0.jpg",124
"41.803307000000004,140.77832499999988,180.0.jpg",125
"41.803307000000004,140.77832499999988,270.0.jpg",120
"41.803307000000004,140.77873499999987,0.0.jpg",137
"41.803307000000004,140.77873499999987,180.0.jpg",135
"41.803307000000004,140.77873499999987,270.0.jpg",146
"41.803307000000004,140.77873499999987,90.0.jpg",150
"41.803307000000004,140.77914499999986,0.0.jpg",134
"41.803307000000004,140.77914499999986,180.0.jpg",146
"41.803307000000004,140.77914499999986,270.0.jpg",136
"41.803307000000004,140.77914499999986,90.0.jpg",141
"41.803307000000004,140.77955499999985,0.0.jpg",142
"41.803307000000004,140.77955499999985,180.0.jpg",134
"41.803307000000004,140.77955499999985,270.0.jpg",137
"41.803307000000004,140.77955499999985,90.0.jpg",130
"41.803307000000004,140.77996499999983,0.0.jpg",127
"41.803307000000004,140.77996499999983,180.0.jpg",152
"41.803307000000004,140.77996499999983,270.0.jpg",139
"41.803307000000004,140.77996499999983,90.0.jpg",140
"41.803307000000004,140.78037499999982,0.0.jpg",147
"41.803307000000004,140.78037499999982,180.0.jpg",167
"41.803307000000004,140.78037499999982,270.0.jpg",127
"41.803307000000004,140.78037499999982,90.0.jpg",162
"41.803307000000004,140.7807849999998,0.0.jpg",131
"41.803307000000004,140.7807849999998,180.0.jpg",140
"41.803307000000004,140.7807849999998,270.0.jpg",113
"41.803307000000004,140.7807849999998,90.0.jpg",138
"41.803307000000004,140.7811949999998,0.0.jpg",142
"41.803307000000004,140.7811949999998,180.0.jpg",151
"41.803307000000004,140.7811949999998,270.0.jpg",131
"41.803307000000004,140.7811949999998,90.0.jpg",125
"41.803307000000004,140.7816049999998,0.0.jpg",145
"41.803307000000004,140.7816049999998,180.0.jpg",140
"41.803307000000004,140.7816049999998,270.0.jpg",149
"41.803307000000004,140.7816049999998,90.0.jpg",131
"41.803307000000004,140.78201499999977,0.0.jpg",128
"41.803307000000004,140.78201499999977,180.0.jpg",145
"41.803307000000004,140.78201499999977,270.0.jpg",124
"41.803307000000004,140.78201499999977,90.0.jpg",140
"41.803307000000004,140.78242499999976,0.0.jpg",118
"41.803307000000004,140.78242499999976,180.0.jpg",151
"41.803307000000004,140.78242499999976,90.0.jpg",139
